"","RESPONDENT_YRSED","PARTNER_YRSED","PPINCIMP","PPWORK","QFLAG","PAPGLB_STATUS","PPMARIT","PPGENDER","Q4","Q5","Q23","PPETHM","Q6B","RESPONDENT_RACE","PARTNER_RACE","RELATIONSHIP_QUALITY","diff_in_education","diff_in_race","diff_in_income"
"933",17,16,"(18) $150,000 to $174,999","(2) working - self-employed","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"934",9,13,"(14) $75,000 to $84,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-4,0,1
"935",11,13,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-2,0,1
"936",13,12,"(07) $20,000 to $24,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",1,0,0
"937",12,11,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"938",17,17,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(5) excellent",0,1,1
"939",16,17,"(10) $35,000 to $39,999","(2) working - self-employed","(1) partnered","(1) yes","(1) married","(2) female","(1) male","(2) no, we are an opposite-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"940",12,13,"(11) $40,000 to $49,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"941",14,14,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"942",11,12,"(08) $25,000 to $29,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"943",14,13,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(1) yes","(1) married","(1) male","(2) female","(2) no, we are an opposite-sex couple","(1) i earned more","(4) hispanic","(5) other (please specify)","(6) Hispanic","(6) Hispanic","(5) excellent",1,0,1
"945",12,12,"(06) $15,000 to $19,999","(6) not working - disabled","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"946",16,14,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(2) female","(2) female","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",2,0,1
"948",17,20,"(17) $125,000 to $149,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(1) male","(1) male","(1) yes, we are a same-sex couple","(2) we earned about the same amount","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(5) excellent",-3,1,0
"951",10,7.5,"(08) $25,000 to $29,999","(5) not working - retired","(1) partnered","(2) no","(2) widowed","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white",NA,2.5,0,1
"952",12,16,"(17) $125,000 to $149,999","(3) not working - on temporary layoff from a job","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-4,0,1
"953",16,16,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,0
"955",10,12,"(18) $150,000 to $174,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-2,0,1
"956",12,12,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(2) we earned about the same amount","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(5) excellent",0,1,0
"957",14,12,"(06) $15,000 to $19,999","(6) not working - disabled","(1) partnered","(2) no","(6) living with partner","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",2,0,1
"960",13,13,"(15) $85,000 to $99,999","(7) not working - other","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(5) excellent",0,1,1
"963",12,12,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"964",12,12,"(11) $40,000 to $49,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(3) other, please specify",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"965",7.5,0,"(01) less than $5,000","(5) not working - retired","(1) partnered","(2) no","(2) widowed","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",7.5,0,1
"966",16,16,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"967",12,12,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"968",17,16,"(19) $175,000 or more","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"969",16,16,"(12) $50,000 to $59,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"972",16,16,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"973",16,16,"(13) $60,000 to $74,999","(5) not working - retired","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"974",17,17,"(18) $150,000 to $174,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"975",12,13,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"978",20,17,"(14) $75,000 to $84,999","(2) working - self-employed","(1) partnered","(1) yes","(5) never married","(2) female","(2) female","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",3,0,1
"979",16,17,"(06) $15,000 to $19,999","(5) not working - retired","(1) partnered","(2) no","(2) widowed","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"980",16,13,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(5) 2+ races, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",3,0,1
"981",12,13,"(08) $25,000 to $29,999","(4) not working - looking for work","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"982",12,12,"(03) $7,500 to $9,999","(6) not working - disabled","(1) partnered","(2) no","(3) divorced","(2) female","(1) male",NA,"(3) partner earned more","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(4) good",0,0,1
"984",13,14,"(12) $50,000 to $59,999","(7) not working - other","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"985",14,13,"(15) $85,000 to $99,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"986",12,12,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,0
"987",13,12,"(11) $40,000 to $49,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"988",12,20,"(16) $100,000 to $124,999","(4) not working - looking for work","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-8,0,1
"989",12,14,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-2,0,1
"991",12,12,"(15) $85,000 to $99,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(5) 2+ races, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(5) excellent",0,0,1
"992",12,12,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"993",16,16,"(10) $35,000 to $39,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"994",12,12,"(04) $10,000 to $12,499","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(2) poor",0,0,1
"996",12,14,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-2,0,1
"997",17,16,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,0
"998",13,12,"(08) $25,000 to $29,999","(4) not working - looking for work","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(3) other, non-hispanic","(1) white","(4) NH Asian Pac Islander","(1) NH white","(3) fair",1,1,1
"999",9,12,"(08) $25,000 to $29,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,1
"1000",13,13,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1001",5.5,16,"(16) $100,000 to $124,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-10.5,0,1
"1002",16,13,"(11) $40,000 to $49,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",3,0,1
"1005",13,12,"(07) $20,000 to $24,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"1006",7.5,12,"(08) $25,000 to $29,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(2) female","(2) no, we are an opposite-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-4.5,0,1
"1008",14,16,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-2,0,1
"1010",12,12,"(16) $100,000 to $124,999","(4) not working - looking for work","(1) partnered","(2) no","(2) widowed","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1011",13,12,"(12) $50,000 to $59,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"1013",14,17,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(1) yes","(1) married","(1) male","(2) female","(2) no, we are an opposite-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,1
"1016",12,12,"(09) $30,000 to $34,999","(1) working - as a paid employee","(1) partnered","(2) no","(4) separated","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",0,0,1
"1017",17,16,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(2) black or african american","(1) NH white","(2) NH black","(4) good",1,1,1
"1019",14,12,"(10) $35,000 to $39,999","(7) not working - other","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",2,0,1
"1020",20,16,"(15) $85,000 to $99,999","(4) not working - looking for work","(1) partnered","(1) yes","(1) married","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",4,0,1
"1021",20,12,"(08) $25,000 to $29,999","(2) working - self-employed","(1) partnered","(1) yes","(1) married","(1) male","(2) female","(2) no, we are an opposite-sex couple","(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",8,0,0
"1022",13,17,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-4,0,0
"1023",10,9,"(08) $25,000 to $29,999","(6) not working - disabled","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",1,0,1
"1024",14,12,"(13) $60,000 to $74,999","(7) not working - other","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",2,0,1
"1026",11,13,"(10) $35,000 to $39,999","(6) not working - disabled","(1) partnered","(2) no","(3) divorced","(2) female","(1) male",NA,"(3) partner earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(5) excellent",-2,1,1
"1028",20,16,"(08) $25,000 to $29,999","(5) not working - retired","(1) partnered","(2) no","(2) widowed","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",4,0,1
"1029",13,13,"(05) $12,500 to $14,999","(6) not working - disabled","(1) partnered","(1) yes","(3) divorced","(2) female","(1) male","(2) no, we are an opposite-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1030",12,12,"(07) $20,000 to $24,999","(5) not working - retired","(1) partnered","(2) no","(2) widowed","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1031",11,12,"(14) $75,000 to $84,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"1032",13,16,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",-3,0,1
"1033",17,13,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",4,0,0
"1035",13,16,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(1) male","(2) no, we are an opposite-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,1
"1036",11,12,"(06) $15,000 to $19,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,0
"1037",12,11,"(18) $150,000 to $174,999","(1) working - as a paid employee","(1) partnered","(1) yes","(1) married","(2) female","(1) male","(2) no, we are an opposite-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"1038",17,12,"(17) $125,000 to $149,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(2) female","(2) no, we are an opposite-sex couple","(1) i earned more","(5) 2+ races, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",5,0,1
"1040",14,14,"(15) $85,000 to $99,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1043",11,12,"(08) $25,000 to $29,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"1045",16,20,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-4,0,1
"1046",13,12,"(10) $35,000 to $39,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",1,0,1
"1047",12,13,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(4) hispanic","(2) black or african american","(6) Hispanic","(2) NH black","(5) excellent",-1,1,1
"1048",17,17,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1051",10,10,"(07) $20,000 to $24,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(2) female","(2) no, we are an opposite-sex couple",NA,"(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,NA
"1052",14,13,"(08) $25,000 to $29,999","(6) not working - disabled","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",1,0,1
"1053",11,14,"(12) $50,000 to $59,999","(3) not working - on temporary layoff from a job","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,0
"1055",13,13,"(08) $25,000 to $29,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,0
"1059",16,9,"(05) $12,500 to $14,999","(7) not working - other","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",7,0,0
"1061",12,12,"(13) $60,000 to $74,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1062",13,13,"(19) $175,000 or more","(2) working - self-employed","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",0,0,1
"1063",7.5,12,"(07) $20,000 to $24,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-4.5,0,1
"1065",10,13,"(12) $50,000 to $59,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,0
"1066",16,16,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(1) yes","(1) married","(1) male","(2) female","(2) no, we are an opposite-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1067",12,13,"(06) $15,000 to $19,999","(5) not working - retired","(1) partnered","(2) no","(4) separated","(1) male","(2) female",NA,"(3) partner earned more","(5) 2+ races, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"1068",16,12,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(2) black or african american","(1) NH white","(6) Hispanic","(5) excellent",4,1,0
"1069",12,12,"(05) $12,500 to $14,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",0,0,1
"1070",16,16,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"1072",17,10,"(19) $175,000 or more","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",7,0,1
"1075",13,12,"(13) $60,000 to $74,999","(4) not working - looking for work","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",1,0,1
"1076",9,12,"(06) $15,000 to $19,999","(6) not working - disabled","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(1) very poor",-3,0,1
"1077",17,17,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,0
"1079",13,12,"(05) $12,500 to $14,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,0
"1080",16,16,"(19) $175,000 or more","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"1081",20,14,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(5) other (please specify)","(1) NH white","(6) Hispanic","(4) good",6,1,1
"1082",12,12,"(05) $12,500 to $14,999","(7) not working - other","(1) partnered","(2) no","(2) widowed","(2) female","(2) female","(2) no, we are an opposite-sex couple",NA,"(4) hispanic","(1) white","(6) Hispanic","(6) Hispanic","(5) excellent",0,0,NA
"1083",12,13,"(10) $35,000 to $39,999","(1) working - as a paid employee","(1) partnered","(2) no","(2) widowed","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-1,0,1
"1084",16,13,"(04) $10,000 to $12,499","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",3,0,1
"1085",12,13,"(09) $30,000 to $34,999","(4) not working - looking for work","(1) partnered","(1) yes","(5) never married","(1) male","(2) female","(2) no, we are an opposite-sex couple","(3) partner earned more","(4) hispanic","(4) asian or pacific islander","(6) Hispanic","(4) NH Asian Pac Islander","(5) excellent",-1,1,1
"1086",13,14,"(10) $35,000 to $39,999","(1) working - as a paid employee","(1) partnered","(1) yes","(1) married","(1) male","(2) female","(2) no, we are an opposite-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"1087",17,17,"(17) $125,000 to $149,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(6) Hispanic","(5) excellent",0,1,1
"1089",13,12,"(10) $35,000 to $39,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(5) excellent",1,0,1
